name
Kirk Douglas
Col. Dax
Ralph Meeker
Cpl. Philippe Paris
Adolphe Menjou
Gen. George Broulard
George Macready
Gen. Paul Mireau
Wayne Morris
Lt. Roget
Richard Anderson
Maj. Saint-Auban
Joe Turkel
Pvt. Pierre Arnaud
Christiane Kubrick
German Singer
Jerry Hausner
Proprietor of Cafe
Peter Capell
Narrator of Opening Sequence
Chief Judge of Court-Martial
Emile Meyer
Father Dupree
Bert Freed
Sgt. Boulanger
Kem Dibbs
Pvt. Lejeune
Timothy Carey
Pvt. Maurice Ferol
Fred Bell
Shell-Shocked Soldier
Daveed Diggs
Marquis de Lafayette
Thomas Jefferson
Renée Elise Goldsberry
Angelica Schuyler
Jonathan Groff
King George
Chris Jackson
George Washington
Jasmine Cephas Jones
Peggy Schuyler
Maria Reynolds
Lin-Manuel Miranda
Alexander Hamilton
Leslie Odom Jr.
Aaron Burr
Okieriete Onaodowan
Hercules Mulligan
James Madison
Anthony Ramos
John Laurens
Philip Hamilton
Phillipa Soo
Eliza Hamilton
Carleigh Bettiol
Ensemble
Ariana DeBose
Ensemble
Hope Easterbrook
Ensemble
Sydney James Harcourt
Philip Schuyler
James Reynolds
Doctor
Ensemble
Sasha Hutchings
Ensemble
Martina Gedeck
Christa-Maria Sieland
Ulrich Mühe
Hauptmann Gerd Wiesler
Sebastian Koch
Georg Dreyman
Ulrich Tukur
Oberstleutnant Anton Grubitz
Thomas Thieme
Minister Bruno Hempf
Hans-Uwe Bauer
Paul Hauser
Volkmar Kleinert
Albert Jerska
Matthias Brenner
Karl Wallner
Charly Hübner
Udo
Herbert Knaup
Gregor Hessenstein
Bastian Trost
Häftling 227
Marie Gruber
Frau Meineke
Volker Michalowski
Schriftexperte
Werner Daehn
Einsatzleiter in Uniform
Martin Brambach
Einsatzleiter Meyer
Charles Chaplin
Hynkel - Dictator of Tomania
A Jewish Barber
Jack Oakie
Napaloni - Dictator of Bacteria
Reginald Gardiner
Schultz
Henry Daniell
Garbitsch
Billy Gilbert
Herring
Grace Hayle
Madame Napaloni
Carter DeHaven
Bacterian Ambassador
Paulette Goddard
Hannah
Maurice Moscovitch
Mr. Jaeckel
Emma Dunn
Mrs. Jaeckel
Bernard Gorcey
Mr. Mann
Paul Weigel
Mr. Agar
Chester Conklin
Barber's Customer
Esther Michelson
Jewish Woman
Hank Mann
Storm Trooper Stealing Fruit
Ben Burtt
WALL·E
M-O
Robots
Elissa Knight
EVE
Jeff Garlin
Captain
Fred Willard
Shelby Forthright
MacInTalk
AUTO
John Ratzenberger
John
Kathy Najimy
Mary
Sigourney Weaver
Ship's Computer
Teddy Newton
Steward Bots
Bob Bergen
Forthright's Advisor
John Cygan
Axiom Passenger #3
Pete Docter
Lifeguard Bot
Paul Eiding
Axiom Passenger #12
Donald Fullilove
Axiom Passenger #7
Teresa Ganzel
Harrison Ford
Indy
Karen Allen
Marion
Paul Freeman
Belloq
Ronald Lacey
Toht
John Rhys-Davies
Sallah
Denholm Elliott
Brody
Alfred Molina
Satipo
Wolf Kahler
Dietrich
Anthony Higgins
Gobler
Vic Tablian
Barranca
Monkey Man
Don Fellows
Col. Musgrove
William Hootkins
Major Eaton
Bill Reimbold
Bureaucrat
Fred Sorenson
Jock
Patrick Durkin
Australian Climber
Jamie Foxx
Django
Christoph Waltz
Dr. King Schultz
Leonardo DiCaprio
Calvin Candie
Kerry Washington
Broomhilda von Shaft
Samuel L. Jackson
Stephen
Walton Goggins
Billy Crash
Dennis Christopher
Leonide Moguy
James Remar
Butch Pooch
Ace Speck
David Steen
Mr. Stonesipher
Dana Gourrier
Cora
Nichole Galicia
Sheba
Laura Cayouette
Lara Lee Candie-Fitzwilly
Ato Essandoh
D'Artagnan
Sammi Rotibi
Rodney
Clay Donahue Fontenot
Big Fred's Opponent
Tim Robbins
Andy Dufresne
Morgan Freeman
Ellis Boyd 'Red' Redding
Bob Gunton
Warden Norton
William Sadler
Heywood
Clancy Brown
Captain Hadley
Gil Bellows
Tommy
Mark Rolston
Bogs Diamond
James Whitmore
Brooks Hatlen
Jeffrey DeMunn
1946 D.A.
Larry Brandenburg
Skeet
Neil Giuntoli
Jigger
Brian Libby
Floyd
David Proval
Snooze
Joseph Ragno
Ernie
Jude Ciccolella
Guard Mert
James Stewart
L.B. 'Jeff' Jefferies
Grace Kelly
Lisa Carol Fremont
Wendell Corey
Det. Lt. Thomas J. Doyle
Thelma Ritter
Stella
Raymond Burr
Lars Thorwald
Judith Evelyn
Miss Lonelyhearts
Ross Bagdasarian
Songwriter
Georgine Darcy
Miss Torso
Sara Berner
Woman on Fire Escape
Frank Cady
Man on Fire Escape
Jesslyn Fax
Miss Hearing Aid
Rand Harper
Newlywed
Irene Winston
Mrs. Emma Thorwald
Havis Davenport
Newlywed
Guy Pearce
Leonard
Carrie-Anne Moss
Natalie
Joe Pantoliano
Teddy
Mark Boone Junior
Burt
Russ Fega
Waiter
Jorja Fox
Leonard's Wife
Stephen Tobolowsky
Sammy Jankis
Harriet Sansom Harris
Mrs. Jankis
Thomas Lennon
Doctor
Callum Keith Rennie
Dodd
Kimberly Campbell
Blonde
Marianne Muellerleile
Tattooist
Larry Holden
Jimmy
Marlon Brando
Colonel Walter E. Kurtz
Martin Sheen
Captain Benjamin L. Willard
Robert Duvall
Lieutenant Colonel Bill Kilgore
Frederic Forrest
Jay 'Chef' Hicks
Sam Bottoms
Lance B. Johnson
Laurence Fishburne
Tyrone 'Clean' Miller
Albert Hall
Chief Phillips
Harrison Ford
Colonel Lucas
Dennis Hopper
Photojournalist
G.D. Spradlin
General R. Corman
Jerry Ziesmer
"Jerry, Civilian"
Scott Glenn
Lieutenant Richard M. Colby
Bo Byers
MP Sergeant #1
James Keane
Kilgore's Gunner
Kerry Rossall
Mike from San Diego
Tom Skerritt
Dallas
